Date,Location,Vehicle_Model,Units_Sold,Average_Price,Customer_Sentiment
2024-05-15 00:00:00,Berlin,BMW 3 Series,10,56113,Positive
2024-05-16 00:00:00,Berlin,Audi A4,18,31958,Positive
2024-05-17 00:00:00,Berlin,Volvo XC90,16,36268,Positive
2024-05-18 00:00:00,Berlin,Mercedes-Benz C-Class,6,41923,Neutral
2024-05-19 00:00:00,Berlin,Porsche 911,5,53647,Neutral
2024-05-20 00:00:00,Berlin,BMW 3 Series,6,46996,Neutral
2024-05-21 00:00:00,Berlin,Audi A4,15,36521,Negative
2024-05-22 00:00:00,Berlin,Volvo XC90,9,58736,Neutral
2024-05-23 00:00:00,Berlin,Mercedes-Benz C-Class,19,55568,Positive
2024-05-24 00:00:00,Berlin,Porsche 911,15,41102,Neutral
2024-05-25 00:00:00,Berlin,BMW 3 Series,15,31809,Positive
2024-05-26 00:00:00,Berlin,Audi A4,29,51284,Neutral
2024-05-27 00:00:00,Berlin,Volvo XC90,22,57241,Positive
2024-05-28 00:00:00,Berlin,Mercedes-Benz C-Class,6,58969,Neutral
2024-05-29 00:00:00,Berlin,Porsche 911,25,41918,Negative
2024-05-30 00:00:00,Berlin,BMW 3 Series,17,33553,Positive
2024-05-31 00:00:00,Berlin,Audi A4,29,37187,Negative
2024-06-01 00:00:00,Berlin,Volvo XC90,6,40509,Neutral
2024-06-02 00:00:00,Berlin,Mercedes-Benz C-Class,7,34442,Negative
2024-06-03 00:00:00,Berlin,Porsche 911,11,39923,Negative
2024-06-04 00:00:00,Berlin,BMW 3 Series,12,57083,Neutral
2024-06-05 00:00:00,Berlin,Audi A4,19,46494,Neutral
2024-06-06 00:00:00,Berlin,Volvo XC90,16,48602,Positive
2024-06-07 00:00:00,Berlin,Mercedes-Benz C-Class,10,45148,Neutral
2024-06-08 00:00:00,Berlin,Porsche 911,14,58124,Positive
2024-06-09 00:00:00,Berlin,BMW 3 Series,13,46917,Negative
2024-06-10 00:00:00,Berlin,Audi A4,22,42301,Neutral
2024-06-11 00:00:00,Berlin,Volvo XC90,18,40215,Positive
2024-06-12 00:00:00,Berlin,Mercedes-Benz C-Class,22,33070,Negative
2024-06-13 00:00:00,Berlin,Porsche 911,9,45411,Neutral
2024-06-14 00:00:00,Berlin,BMW 3 Series,27,48382,Neutral
2024-06-15 00:00:00,Berlin,Audi A4,17,37269,Positive
2024-06-16 00:00:00,Berlin,Volvo XC90,23,42783,Neutral
2024-06-17 00:00:00,Berlin,Mercedes-Benz C-Class,24,35266,Neutral
2024-06-18 00:00:00,Berlin,Porsche 911,29,48704,Neutral
2024-06-19 00:00:00,Berlin,BMW 3 Series,21,52568,Negative
2024-06-20 00:00:00,Berlin,Audi A4,13,33325,Negative
2024-06-21 00:00:00,Berlin,Volvo XC90,6,40121,Negative
2024-06-22 00:00:00,Berlin,Mercedes-Benz C-Class,9,59726,Neutral
2024-06-23 00:00:00,Berlin,Porsche 911,24,57076,Positive
2024-06-24 00:00:00,Berlin,BMW 3 Series,27,33053,Negative
2024-06-25 00:00:00,Berlin,Audi A4,24,39949,Positive
2024-06-26 00:00:00,Berlin,Volvo XC90,13,59682,Neutral
2024-06-27 00:00:00,Berlin,Mercedes-Benz C-Class,13,51821,Neutral
2024-06-28 00:00:00,Berlin,Porsche 911,11,40575,Positive
2024-06-29 00:00:00,Berlin,BMW 3 Series,20,34095,Positive
2024-06-30 00:00:00,Berlin,Audi A4,13,54279,Positive
2024-07-01 00:00:00,Berlin,Volvo XC90,11,40346,Positive
2024-07-02 00:00:00,Berlin,Mercedes-Benz C-Class,7,49792,Positive
2024-07-03 00:00:00,Berlin,Porsche 911,20,40921,Neutral
2024-07-04 00:00:00,Berlin,BMW 3 Series,22,45286,Negative
2024-07-05 00:00:00,Berlin,Audi A4,23,44184,Negative
2024-07-06 00:00:00,Berlin,Volvo XC90,7,49952,Neutral
2024-07-07 00:00:00,Berlin,Mercedes-Benz C-Class,24,36177,Neutral
2024-07-08 00:00:00,Berlin,Porsche 911,26,51863,Positive
2024-07-09 00:00:00,Berlin,BMW 3 Series,26,31640,Negative
2024-07-10 00:00:00,Berlin,Audi A4,19,45724,Negative
2024-07-11 00:00:00,Berlin,Volvo XC90,19,51799,Negative
2024-07-12 00:00:00,Berlin,Mercedes-Benz C-Class,19,39570,Positive
2024-07-13 00:00:00,Berlin,Porsche 911,22,30265,Positive
2024-07-14 00:00:00,Berlin,BMW 3 Series,20,30331,Positive
2024-07-15 00:00:00,Berlin,Audi A4,25,52687,Neutral
2024-07-16 00:00:00,Berlin,Volvo XC90,18,34429,Negative
2024-07-17 00:00:00,Berlin,Mercedes-Benz C-Class,7,59510,Negative
2024-07-18 00:00:00,Berlin,Porsche 911,18,31262,Neutral
2024-01-01 00:00:00,Munich,BMW 3 Series,6,30764,Neutral
2024-01-02 00:00:00,Munich,Audi A4,22,30385,Positive
2024-01-03 00:00:00,Munich,Volvo XC90,9,57217,Positive
2024-01-04 00:00:00,Munich,Mercedes-Benz C-Class,29,56761,Neutral
2024-01-05 00:00:00,Munich,Porsche 911,7,50769,Positive
2024-01-06 00:00:00,Munich,BMW 3 Series,15,33546,Negative
2024-01-07 00:00:00,Munich,Audi A4,7,51802,Neutral
2024-01-08 00:00:00,Munich,Volvo XC90,8,58954,Negative
2024-01-09 00:00:00,Munich,Mercedes-Benz C-Class,29,56779,Negative
2024-01-10 00:00:00,Munich,Porsche 911,29,37540,Neutral
2024-01-11 00:00:00,Munich,BMW 3 Series,12,42281,Positive
2024-01-12 00:00:00,Munich,Audi A4,5,35769,Positive
2024-01-13 00:00:00,Munich,Volvo XC90,25,58493,Negative
2024-01-14 00:00:00,Munich,Mercedes-Benz C-Class,26,39691,Positive
2024-01-15 00:00:00,Munich,Porsche 911,17,59980,Positive
2024-01-16 00:00:00,Munich,BMW 3 Series,11,48032,Negative
2024-01-17 00:00:00,Munich,Audi A4,11,52606,Positive
2024-01-18 00:00:00,Munich,Volvo XC90,21,38307,Neutral
2024-01-19 00:00:00,Munich,Mercedes-Benz C-Class,18,50879,Positive
2024-01-20 00:00:00,Munich,Porsche 911,19,58544,Negative
2024-01-21 00:00:00,Munich,BMW 3 Series,8,33234,Positive
2024-01-22 00:00:00,Munich,Audi A4,5,53836,Positive
2024-01-23 00:00:00,Munich,Volvo XC90,6,30890,Positive
2024-01-24 00:00:00,Munich,Mercedes-Benz C-Class,20,52043,Negative
2024-01-25 00:00:00,Munich,Porsche 911,13,53158,Negative
2024-01-26 00:00:00,Munich,BMW 3 Series,24,54673,Positive
2024-01-27 00:00:00,Munich,Audi A4,24,36795,Negative
2024-01-28 00:00:00,Munich,Volvo XC90,22,38895,Negative
2024-01-29 00:00:00,Munich,Mercedes-Benz C-Class,9,46421,Positive
2024-01-30 00:00:00,Munich,Porsche 911,27,33430,Neutral
2024-01-31 00:00:00,Munich,BMW 3 Series,5,48207,Positive
2024-02-01 00:00:00,Munich,Audi A4,7,44053,Negative
2024-02-02 00:00:00,Munich,Volvo XC90,13,33257,Positive
2024-02-03 00:00:00,Munich,Mercedes-Benz C-Class,13,32838,Neutral
2024-02-04 00:00:00,Munich,Porsche 911,10,59942,Neutral
2024-02-05 00:00:00,Munich,BMW 3 Series,9,33963,Neutral
2024-02-06 00:00:00,Munich,Audi A4,22,36754,Negative
2024-02-07 00:00:00,Munich,Volvo XC90,16,32909,Neutral
2024-02-08 00:00:00,Munich,Mercedes-Benz C-Class,13,46012,Neutral
2024-02-09 00:00:00,Munich,Porsche 911,14,49557,Neutral
2024-02-10 00:00:00,Munich,BMW 3 Series,12,31641,Positive
2024-02-11 00:00:00,Munich,Audi A4,9,50103,Positive
2024-02-12 00:00:00,Munich,Volvo XC90,11,57648,Neutral
2024-02-13 00:00:00,Munich,Mercedes-Benz C-Class,26,38909,Positive
2024-02-14 00:00:00,Munich,Porsche 911,28,50176,Negative
2024-02-15 00:00:00,Munich,BMW 3 Series,19,36958,Positive
2024-02-16 00:00:00,Munich,Audi A4,16,53543,Negative
2024-02-17 00:00:00,Munich,Volvo XC90,29,57101,Negative
2024-02-18 00:00:00,Munich,Mercedes-Benz C-Class,11,31615,Positive
2024-02-19 00:00:00,Munich,Porsche 911,24,43441,Neutral
2024-02-20 00:00:00,Munich,BMW 3 Series,27,56962,Positive
2024-02-21 00:00:00,Munich,Audi A4,17,33676,Negative
2024-02-22 00:00:00,Munich,Volvo XC90,26,37837,Positive
2024-02-23 00:00:00,Munich,Mercedes-Benz C-Class,19,57986,Negative
2024-02-24 00:00:00,Munich,Porsche 911,28,32950,Positive
2024-02-25 00:00:00,Munich,BMW 3 Series,17,31390,Neutral
2024-02-26 00:00:00,Munich,Audi A4,21,46942,Positive
2024-02-27 00:00:00,Munich,Volvo XC90,7,30249,Neutral
2024-02-28 00:00:00,Munich,Mercedes-Benz C-Class,9,46040,Neutral
2024-02-29 00:00:00,Munich,Porsche 911,8,43192,Neutral
2024-03-01 00:00:00,Munich,BMW 3 Series,10,33310,Neutral
2024-03-02 00:00:00,Munich,Audi A4,17,57334,Positive
2024-03-03 00:00:00,Munich,Volvo XC90,17,42843,Negative
2024-03-04 00:00:00,Munich,Mercedes-Benz C-Class,28,32605,Neutral
2024-03-05 00:00:00,Munich,Porsche 911,5,37179,Positive
2024-03-06 00:00:00,Munich,BMW 3 Series,13,37492,Neutral
2024-03-07 00:00:00,Munich,Audi A4,17,33951,Negative
2024-03-08 00:00:00,Munich,Volvo XC90,7,36609,Positive
2024-03-09 00:00:00,Munich,Mercedes-Benz C-Class,22,40257,Positive
2024-03-10 00:00:00,Munich,Porsche 911,19,52030,Negative
2024-03-11 00:00:00,Munich,BMW 3 Series,12,38833,Negative
2024-03-12 00:00:00,Munich,Audi A4,23,36456,Neutral
2024-03-13 00:00:00,Munich,Volvo XC90,24,46332,Neutral
2024-03-14 00:00:00,Munich,Mercedes-Benz C-Class,13,46567,Negative
2024-03-15 00:00:00,Munich,Porsche 911,27,57442,Neutral
2024-03-16 00:00:00,Munich,BMW 3 Series,8,50123,Positive
2024-03-17 00:00:00,Munich,Audi A4,6,45116,Negative
2024-03-18 00:00:00,Munich,Volvo XC90,5,57217,Negative
2024-03-19 00:00:00,Munich,Mercedes-Benz C-Class,25,46873,Negative
2024-03-20 00:00:00,Munich,Porsche 911,5,51152,Neutral
2024-03-21 00:00:00,Munich,BMW 3 Series,29,59085,Negative
2024-03-22 00:00:00,Munich,Audi A4,8,56475,Negative
2024-03-23 00:00:00,Munich,Volvo XC90,7,48373,Negative
2024-03-24 00:00:00,Munich,Mercedes-Benz C-Class,8,50211,Positive
2024-03-25 00:00:00,Munich,Porsche 911,28,33991,Positive
2024-03-26 00:00:00,Munich,BMW 3 Series,26,50831,Neutral
2024-03-27 00:00:00,Munich,Audi A4,11,34043,Positive
2024-03-28 00:00:00,Munich,Volvo XC90,22,48364,Neutral
2024-03-29 00:00:00,Munich,Mercedes-Benz C-Class,10,55273,Neutral
2024-03-30 00:00:00,Munich,Porsche 911,13,57369,Negative
2024-03-31 00:00:00,Munich,BMW 3 Series,9,46934,Neutral
2024-04-01 00:00:00,Munich,Audi A4,15,35799,Neutral
2024-04-02 00:00:00,Munich,Volvo XC90,20,34137,Negative
2024-04-03 00:00:00,Munich,Mercedes-Benz C-Class,16,33742,Neutral
2024-04-04 00:00:00,Munich,Porsche 911,16,48971,Neutral
2024-04-05 00:00:00,Munich,BMW 3 Series,23,40351,Neutral
2024-04-06 00:00:00,Munich,Audi A4,26,52171,Neutral
2024-04-07 00:00:00,Munich,Volvo XC90,22,39533,Negative
2024-04-08 00:00:00,Munich,Mercedes-Benz C-Class,27,54048,Neutral
2024-04-09 00:00:00,Munich,Porsche 911,7,57159,Negative
2024-04-10 00:00:00,Munich,BMW 3 Series,25,32342,Positive
2024-04-11 00:00:00,Munich,Audi A4,21,30753,Negative
2024-04-12 00:00:00,Munich,Volvo XC90,6,34827,Neutral
2024-04-13 00:00:00,Munich,Mercedes-Benz C-Class,12,30935,Neutral
2024-04-14 00:00:00,Munich,Porsche 911,20,55706,Negative
2024-04-15 00:00:00,Munich,BMW 3 Series,23,34954,Neutral
2024-04-16 00:00:00,Munich,Audi A4,27,44152,Positive
2024-04-17 00:00:00,Munich,Volvo XC90,26,43481,Negative
2024-04-18 00:00:00,Munich,Mercedes-Benz C-Class,5,46525,Positive
2024-04-19 00:00:00,Munich,Porsche 911,26,59349,Neutral
2024-04-20 00:00:00,Munich,BMW 3 Series,15,56819,Neutral
2024-04-21 00:00:00,Munich,Audi A4,27,35815,Neutral
2024-04-22 00:00:00,Munich,Volvo XC90,9,48721,Positive
2024-04-23 00:00:00,Munich,Mercedes-Benz C-Class,26,51665,Positive
2024-04-24 00:00:00,Munich,Porsche 911,24,54143,Negative
2024-04-25 00:00:00,Munich,BMW 3 Series,11,36046,Positive
2024-04-26 00:00:00,Munich,Audi A4,16,33611,Neutral
2024-04-27 00:00:00,Munich,Volvo XC90,27,42580,Positive
2024-04-28 00:00:00,Munich,Mercedes-Benz C-Class,8,39624,Negative
2024-04-29 00:00:00,Munich,Porsche 911,16,44517,Positive
2024-04-30 00:00:00,Munich,BMW 3 Series,24,49478,Negative
2024-05-01 00:00:00,Munich,Audi A4,18,38530,Negative
2024-05-02 00:00:00,Munich,Volvo XC90,26,52381,Positive
2024-05-03 00:00:00,Munich,Mercedes-Benz C-Class,20,36090,Positive
2024-05-04 00:00:00,Munich,Porsche 911,28,43886,Negative
2024-05-05 00:00:00,Munich,BMW 3 Series,22,30535,Positive
2024-05-06 00:00:00,Munich,Audi A4,13,41601,Negative
2024-05-07 00:00:00,Munich,Volvo XC90,13,49138,Neutral
2024-05-08 00:00:00,Munich,Mercedes-Benz C-Class,20,34717,Positive
2024-05-09 00:00:00,Munich,Porsche 911,18,59039,Positive
2024-05-10 00:00:00,Munich,BMW 3 Series,24,48604,Positive
2024-05-11 00:00:00,Munich,Audi A4,7,35627,Negative
2024-05-12 00:00:00,Munich,Volvo XC90,6,44735,Positive
2024-05-13 00:00:00,Munich,Mercedes-Benz C-Class,7,34085,Positive
2024-05-14 00:00:00,Munich,Porsche 911,6,35596,Negative
2024-05-15 00:00:00,Munich,BMW 3 Series,17,52168,Negative
2024-05-16 00:00:00,Munich,Audi A4,9,46471,Neutral
2024-05-17 00:00:00,Munich,Volvo XC90,24,54907,Neutral
2024-05-18 00:00:00,Munich,Mercedes-Benz C-Class,13,42705,Neutral
2024-05-19 00:00:00,Munich,Porsche 911,12,46614,Neutral
2024-05-20 00:00:00,Munich,BMW 3 Series,17,34596,Negative
2024-05-21 00:00:00,Munich,Audi A4,23,36569,Positive
2024-05-22 00:00:00,Munich,Volvo XC90,8,42116,Positive
2024-05-23 00:00:00,Munich,Mercedes-Benz C-Class,14,52244,Positive
2024-05-24 00:00:00,Munich,Porsche 911,24,40619,Neutral
2024-05-25 00:00:00,Munich,BMW 3 Series,11,38250,Positive
2024-05-26 00:00:00,Munich,Audi A4,28,50339,Neutral
2024-05-27 00:00:00,Munich,Volvo XC90,26,58270,Positive
2024-05-28 00:00:00,Munich,Mercedes-Benz C-Class,5,34462,Neutral
2024-05-29 00:00:00,Munich,Porsche 911,18,48486,Neutral
2024-05-30 00:00:00,Munich,BMW 3 Series,11,42073,Positive
2024-05-31 00:00:00,Munich,Audi A4,26,45538,Positive
2024-06-01 00:00:00,Munich,Volvo XC90,29,56625,Neutral
2024-06-02 00:00:00,Munich,Mercedes-Benz C-Class,24,45509,Positive
2024-06-03 00:00:00,Munich,Porsche 911,11,44960,Negative
2024-06-04 00:00:00,Munich,BMW 3 Series,21,59916,Neutral
2024-06-05 00:00:00,Munich,Audi A4,12,45405,Neutral
2024-06-06 00:00:00,Munich,Volvo XC90,6,52597,Negative
2024-06-07 00:00:00,Munich,Mercedes-Benz C-Class,5,43614,Positive
2024-06-08 00:00:00,Munich,Porsche 911,24,46684,Positive
2024-06-09 00:00:00,Munich,BMW 3 Series,26,55309,Neutral
2024-06-10 00:00:00,Munich,Audi A4,29,32058,Neutral
2024-06-11 00:00:00,Munich,Volvo XC90,14,40974,Negative
2024-06-12 00:00:00,Munich,Mercedes-Benz C-Class,6,36083,Positive
2024-06-13 00:00:00,Munich,Porsche 911,11,44341,Neutral
2024-06-14 00:00:00,Munich,BMW 3 Series,13,46844,Neutral
2024-06-15 00:00:00,Munich,Audi A4,16,43786,Positive
2024-06-16 00:00:00,Munich,Volvo XC90,28,38498,Positive
2024-06-17 00:00:00,Munich,Mercedes-Benz C-Class,15,38904,Positive
2024-06-18 00:00:00,Munich,Porsche 911,7,46658,Neutral
2024-06-19 00:00:00,Munich,BMW 3 Series,7,50891,Neutral
2024-06-20 00:00:00,Munich,Audi A4,18,40286,Negative
2024-06-21 00:00:00,Munich,Volvo XC90,5,31523,Neutral
2024-06-22 00:00:00,Munich,Mercedes-Benz C-Class,24,56687,Negative
2024-06-23 00:00:00,Munich,Porsche 911,27,30015,Positive
2024-06-24 00:00:00,Munich,BMW 3 Series,8,52423,Positive
2024-06-25 00:00:00,Munich,Audi A4,11,55277,Negative
2024-06-26 00:00:00,Munich,Volvo XC90,12,51715,Neutral
2024-06-27 00:00:00,Munich,Mercedes-Benz C-Class,6,49915,Negative
2024-06-28 00:00:00,Munich,Porsche 911,10,46269,Positive
2024-06-29 00:00:00,Munich,BMW 3 Series,18,52264,Negative
2024-06-30 00:00:00,Munich,Audi A4,5,51515,Negative
2024-07-01 00:00:00,Munich,Volvo XC90,24,59262,Positive
2024-07-02 00:00:00,Munich,Mercedes-Benz C-Class,9,49152,Neutral
2024-07-03 00:00:00,Munich,Porsche 911,16,56201,Neutral
2024-07-04 00:00:00,Munich,BMW 3 Series,20,45407,Neutral
2024-07-05 00:00:00,Munich,Audi A4,17,44664,Neutral
2024-07-06 00:00:00,Munich,Volvo XC90,25,48137,Negative
2024-07-07 00:00:00,Munich,Mercedes-Benz C-Class,19,53096,Negative
2024-07-08 00:00:00,Munich,Porsche 911,7,35584,Positive
